Name,Display Name,Description,Tags,Platforms,Owners,Status
Page Viewed,Page Viewed,User views a page on the website,Navigation;User Behavior,Web,team@voxxypresents.com,Visible
Navigation Link Clicked,Navigation Link Clicked,User clicks on navigation links throughout the site,Navigation;User Behavior,Web,team@voxxypresents.com,Visible
CTA Button Clicked,CTA Button Clicked,User clicks on call-to-action buttons,Conversion;User Behavior,Web,team@voxxypresents.com,Visible
Page Scroll,Page Scroll,User scrolls down a page (tracked in 25% increments),Engagement;User Behavior,Web,team@voxxypresents.com,Visible
Page Engagement,Page Engagement,Measures time spent on page and engagement level,Engagement;User Behavior,Web,team@voxxypresents.com,Visible
Form Started,Form Started,User begins filling out a form,Conversion;Forms,Web,team@voxxypresents.com,Visible
Form Field Completed,Form Field Completed,User completes a form field,Conversion;Forms,Web,team@voxxypresents.com,Visible
Form Submitted,Form Submitted,User successfully submits a form,Conversion;Forms,Web,team@voxxypresents.com,Visible
Form Error,Form Error,User encounters an error while filling out a form,Conversion;Forms;Errors,Web,team@voxxypresents.com,Visible
Feature Viewed,Feature Viewed,User views a specific feature on the platform,Product;Engagement,Web,team@voxxypresents.com,Visible
Pricing Plan Viewed,Pricing Plan Viewed,User views pricing information for different plans,Conversion;Pricing,Web,team@voxxypresents.com,Visible
Email Link Clicked,Email Link Clicked,User clicks on email contact links,Contact;Conversion,Web,team@voxxypresents.com,Visible
External Link Clicked,External Link Clicked,User clicks on external links leaving the site,User Behavior;External,Web,team@voxxypresents.com,Visible
First Visit,First Visit,User's first visit to the website with traffic source tracking,Acquisition;User Behavior,Web,team@voxxypresents.com,Visible
User Signed In,User Signed In,User successfully signs into their account,Authentication;User Behavior,Web,team@voxxypresents.com,Visible
Club Created,Club Created,User creates a new club/organization,Conversion;Product,Web,team@voxxypresents.com,Visible
Venue Listed,Venue Listed,Venue owner lists their venue on the platform,Conversion;Product;Venues,Web,team@voxxypresents.com,Visible
Event Created,Event Created,User creates a new event,Conversion;Product,Web,team@voxxypresents.com,Visible
RSVP Made,RSVP Made,User RSVPs to an event,Conversion;Product,Web,team@voxxypresents.com,Visible
Element Clicked,Element Clicked,User clicks on general page elements,User Behavior,Web,team@voxxypresents.com,Visible
Landing Page Interaction,Landing Page Interaction,User interacts with elements on the landing page,Conversion;Landing Page,Web,team@voxxypresents.com,Visible
